Page,Pageviews,UniquePageviews,AvgTimeonPage,BounceRate,Exit,Index
/article/apache/restart-apache/,2975,2836,388.93975903614455,0.9520255863539445,0.944201680672269,0.0
/article/mysql/delete-all-data-mysql/,2891,2732,267.13524590163934,0.9355805243445693,0.915600138360429,0.0
/jquery-get-set-form-values/,2347,2153,321.9901639344262,0.8933912204534491,0.870046868342565,0.0
/article/networking/open-firewall-msn-icq/,2298,2145,300.81142857142856,0.9341121495327103,0.9238468233246301,0.0
/php-http-referer-variable/,1949,1865,324.4871794871795,0.9527687296416938,0.9399692149820421,0.0
/article/mysql/cross-table-update/,1927,1803,307.7136150234742,0.914121037463977,0.8894654903995849,0.0
/windows-vista-black-screen-after-login/,1710,1302,118.30818278427205,0.35418359057676685,0.4497076023391813,0.0
/article/linux-unix-bsd/howto-check-md5-file/,1683,1616,330.35164835164835,0.9497206703910615,0.9459298871063577,0.0
/install-yum-with-rpm-on-centos/,1655,1454,325.20392156862744,0.8623087621696801,0.8459214501510574,0.0
/article/mysql/format-date-time-mysql/,1552,1447,316.09774436090225,0.9308398023994354,0.9143041237113402,0.0
/windows-vista-black-screen-after-login/resolved/,1535,1352,263.7365269461078,0.8441330998248686,0.6736156351791531,0.0
/user-not-assocated-trusted-sql-server-connection/,1313,1281,363.8421052631579,0.9733333333333334,0.9710586443259711,0.0
/article/linux-unix-bsd/create-rsa-dsa-keys-ssh/,1236,1141,284.4761904761905,0.8705035971223022,0.8470873786407767,0.0
/check-uncheck-checkbox-jquery/,1220,1103,305.58285714285716,0.8953377735490009,0.8565573770491803,0.0
/load-content-jquery-ajax-loading-image/,1044,785,170.5995423340961,0.6612184249628529,0.5814176245210728,0.0
/test-file-exists-bash-shell/,1034,984,512.5,0.9500509683995922,0.9458413926499033,0.0
/class-soapclient-not-found/,1005,914,324.144,0.8845726970033296,0.8756218905472637,0.0
/article/mysql/mysqlimport-errors/,999,916,277.0138888888889,0.8791946308724832,0.8558558558558559,0.0
/upper-lower-case-strings-mysql/,905,873,258.8703703703704,0.9548088064889919,0.9403314917127071,0.0
/vmware-server-console-connection-refused/,894,851,257.1034482758621,0.9418742586002372,0.9351230425055929,0.0
/,880,685,90.381861575179,0.6271929824561403,0.5238636363636363,0.0
/style-html-form-type-css-jquery/,875,842,199.82051282051282,0.9428208386277002,0.9108571428571428,0.0
/access-denied-vmware-infrastructure-web-access/,847,757,151.42105263157896,0.7689243027888446,0.7756788665879575,0.0
